Rank,Name,Win_Ratio,Wins,Total_Comparisons,Average_Opponent_Rank
93,Niels Bohr,0.6923076923076923,9.0,13.0,0.5376546530392684
94,Niccolò Machiavelli,0.6923076923076923,9.0,13.0,0.46528229774692914
95,Zoroaster,0.6923076923076923,9.0,13.0,0.6538530097353626
96,René Descartes,0.6923076923076923,9.0,13.0,0.6014451733328817
97,Florence Nightingale,0.6923076923076923,9.0,13.0,0.5429328024916258
98,David Hume,0.6923076923076923,9.0,13.0,0.5389552754937371
99,Isabella I of Castile,0.6923076923076923,9.0,13.0,0.5633616383616383
100,Thomas Aquinas,0.6923076923076923,9.0,13.0,0.5356182400851339
101,Thomas Edison,0.6666666666666666,8.0,12.0,0.573611111111111
102,Ferdinand Magellan,0.6666666666666666,8.0,12.0,0.49104334484081313
103,Galileo Galilei,0.6666666666666666,10.0,15.0,0.6598002103381851
104,Augustine of Hippo,0.6666666666666666,10.0,15.0,0.698096440252062
105,Leonardo da Vinci,0.6666666666666666,10.0,15.0,0.6665769352766256
106,Sophocles,0.6666666666666666,8.0,12.0,0.6157091349912558
107,Rumi,0.6470588235294118,11.0,17.0,0.6408796221079958
108,Thomas Jefferson,0.6470588235294118,11.0,17.0,0.5716900119138304
109,Hippocrates,0.6428571428571429,9.0,14.0,0.5498139704906622
110,Hatshepsut,0.6428571428571429,9.0,14.0,0.6008638420403126
111,Miguel de Cervantes,0.6363636363636364,7.0,11.0,0.5128522992159356
112,Nebuchadnezzar II,0.6363636363636364,7.0,11.0,0.5209154481881755
113,Louis XIV of France,0.6363636363636364,7.0,11.0,0.446498198770926
114,Montesquieu,0.6363636363636364,7.0,11.0,0.60138270820089
115,Averroes,0.6363636363636364,7.0,11.0,0.53974749333601
116,Rosa Luxemburg,0.6363636363636364,7.0,11.0,0.5138488962018374
117,Friedrich Engels,0.6363636363636364,7.0,11.0,0.5480973571882664
118,Charles Dickens,0.6363636363636364,7.0,11.0,0.5105954651409196
119,Thales of Miletus,0.6363636363636364,7.0,11.0,0.5372827929646111
120,Hernán Cortés,0.6363636363636364,7.0,11.0,0.5166614884318234
121,Marcus Aurelius,0.6363636363636364,7.0,11.0,0.5790633608815428
122,Neil Armstrong,0.6363636363636364,7.0,11.0,0.5751218478491206
123,Epicurus,0.6363636363636364,7.0,11.0,0.5430785123966942
124,Fidel Castro,0.6363636363636364,7.0,11.0,0.46174039863879435
125,Peter the Great,0.6363636363636364,7.0,11.0,0.534120425029516
126,Pope Gregory I,0.6363636363636364,7.0,11.0,0.5028577483122938
127,Homer,0.6363636363636364,7.0,11.0,0.5393809085953717
128,Pope Francis,0.6363636363636364,7.0,11.0,0.4751093747066129
129,Henry Dunant,0.6363636363636364,7.0,11.0,0.5459419368510278
130,Émile Durkheim,0.6363636363636364,7.0,11.0,0.5345730027548209
131,Antoine Lavoisier,0.6363636363636364,7.0,11.0,0.6128295946477764
132,Leo Tolstoy,0.6363636363636364,7.0,11.0,0.5432594064930083
133,Hokusai,0.6363636363636364,7.0,11.0,0.4207988980716253
134,Georg Wilhelm Friedrich Hegel,0.6363636363636364,7.0,11.0,0.520720188902007
135,Karl Benz,0.6363636363636364,7.0,11.0,0.4873490146217419
136,Cleopatra,0.6363636363636364,7.0,11.0,0.5182930705657979
137,Denis Diderot,0.6363636363636364,7.0,11.0,0.4904741191822532
138,Charles Martel,0.6363636363636364,7.0,11.0,0.43071625344352604
139,Carl Jung,0.6363636363636364,7.0,11.0,0.47054309327036603
140,Mimar Sinan,0.6363636363636364,7.0,11.0,0.5495867768595042
141,Dmitri Mendeleev,0.6363636363636364,7.0,11.0,0.5729876184421641
142,Qin Shi Huang,0.631578947368421,12.0,19.0,0.60306970336708
143,Benjamin Franklin,0.625,10.0,16.0,0.6271197552447553
144,Julius Caesar,0.625,10.0,16.0,0.6916504910530645
145,Suleiman the Magnificent,0.625,10.0,16.0,0.610476802501084
146,Alfred Nobel,0.6153846153846154,8.0,13.0,0.5229851596367434
147,Ernest Rutherford,0.6153846153846154,8.0,13.0,0.6281743897128512
148,Gregor Mendel,0.6153846153846154,8.0,13.0,0.5730388201542047
149,Matthew the Apostle,0.6,6.0,10.0,0.5362820512820514
150,Gian Lorenzo Bernini,0.6,6.0,10.0,0.5336363636363636
151,Sun Tzu,0.6,6.0,10.0,0.5916083916083916
152,Gabriel García Márquez,0.6,6.0,10.0,0.47785273549979435
153,Bob Marley,0.6,6.0,10.0,0.5039294039294039
154,Phidias,0.6,6.0,10.0,0.4701515151515151
155,Joan of Arc,0.6,6.0,10.0,0.5004240280692254
156,Vasco da Gama,0.6,6.0,10.0,0.39158301613997815
